CustomerID,Gender,Age,Annual Income (Rs),Spending Score (1-100)
1,Female,32,140,78
2,Male,51,22,14
3,Female,24,184,74
4,Male,36,19,67
5,Female,22,189,32
6,Male,33,156,58
7,Male,45,62,40
8,Female,19,183,10
9,Female,54,167,37
10,Female,34,98,21
11,Female,25,100,54
12,Male,59,120,65
13,Male,49,168,24
14,Female,46,192,59
15,Female,30,116,60
16,Male,35,47,66
17,Male,20,160,42
18,Female,34,74,76
19,Female,45,50,79
20,Female,20,144,80
21,Male,42,165,78
22,Male,31,45,80
23,Male,28,112,22
24,Male,56,189,79
25,Female,50,101,45
26,Male,27,41,48
27,Male,32,149,61
28,Female,22,31,18
29,Male,25,78,23
30,Male,20,155,52
31,Female,23,20,48
32,Male,46,77,50
33,Female,59,155,67
34,Female,25,34,10
35,Male,43,129,48
36,Female,41,47,27
37,Male,26,195,78
38,Male,54,126,29
39,Male,27,127,70
40,Male,54,156,74
41,Female,51,159,34
42,Female,29,92,24
43,Female,56,60,43
44,Female,38,200,67
45,Female,31,135,18
46,Female,45,146,47
47,Female,47,163,65
48,Female,43,132,24
49,Female,26,190,11
50,Female,20,118,23
51,Female,47,184,29
52,Male,59,143,39
53,Male,60,18,32
54,Male,39,157,35
55,Female,58,96,22
56,Male,23,99,64
57,Female,36,181,41
58,Male,42,71,10
59,Female,23,186,25
60,Male,53,160,48
61,Male,26,122,21
62,Male,55,149,50
63,Female,51,20,39
64,Male,19,62,28
65,Male,27,126,35
66,Male,39,35,23
67,Female,23,188,50
68,Male,29,144,21
69,Male,27,196,25
70,Male,55,78,14
71,Female,50,87,64
72,Female,40,150,76
73,Female,45,199,50
74,Male,19,130,13
75,Male,34,134,22
76,Female,52,173,12
77,Female,48,87,13
78,Female,24,70,24
79,Female,33,31,32
80,Male,35,196,71
81,Female,19,184,32
82,Male,47,147,49
83,Female,53,177,57
84,Male,49,116,21
85,Female,59,131,66
86,Female,25,199,51
87,Female,27,143,56
88,Male,48,35,66
89,Female,37,87,36
90,Female,54,119,27
91,Male,30,156,66
92,Male,56,162,44
93,Female,28,171,26
94,Male,47,56,31
95,Female,32,119,61
96,Male,57,153,17
97,Male,22,47,11
98,Female,52,153,70
99,Female,31,68,17
100,Female,24,192,42
101,Female,40,127,27
102,Female,59,37,60
103,Male,48,46,50
104,Male,59,65,10
105,Male,48,25,31
106,Male,60,86,14
107,Female,25,18,23
108,Female,47,97,14
109,Female,25,110,32
110,Male,35,198,68
111,Female,55,123,15
112,Female,42,138,61
113,Male,27,119,25
114,Female,30,45,47
115,Female,24,199,45
116,Male,23,191,50
117,Male,26,176,44
118,Male,47,48,29
119,Female,24,170,76
120,Female,57,54,46
121,Male,47,168,34
122,Male,50,133,10
123,Female,25,73,33
124,Female,20,30,21
125,Female,45,180,65
126,Female,33,112,70
127,Female,60,43,62
128,Male,50,190,24
129,Male,24,180,78
130,Male,39,182,72
131,Male,25,145,53
132,Female,32,190,43
133,Female,35,24,49
134,Female,21,67,32
135,Female,19,134,12
136,Female,34,55,68
137,Female,30,16,20
138,Female,30,199,58
139,Male,24,109,29
140,Male,50,34,54
141,Male,59,137,36
142,Male,40,23,18
143,Female,31,148,58
144,Female,20,42,12
145,Female,39,197,26
146,Male,36,140,48
147,Female,39,26,24
148,Male,47,42,25
149,Female,58,136,37
150,Male,41,82,74
151,Female,51,137,34
152,Male,60,166,71
153,Male,49,90,41
154,Male,23,179,47
155,Male,27,61,56
156,Female,28,174,36
157,Female,51,149,64
158,Male,19,62,17
159,Male,47,128,70
160,Female,30,84,58
161,Male,30,139,62
162,Female,60,198,13
163,Female,52,28,31
164,Female,34,154,23
165,Female,44,92,32
166,Female,49,74,23
167,Female,41,146,26
168,Male,34,179,36
169,Female,25,38,65
170,Male,37,136,48
171,Female,22,191,66
172,Female,38,56,56
173,Female,22,92,13
174,Female,60,129,38
175,Male,50,62,79
176,Male,32,193,67
177,Male,21,94,41
178,Male,24,104,41
179,Female,51,126,38
180,Male,54,144,56
181,Female,46,139,49
182,Male,30,66,37
183,Male,49,178,69
184,Female,41,189,53
185,Female,30,146,25
186,Male,19,55,37
187,Female,19,114,12
188,Male,38,20,34
189,Male,44,174,55
190,Female,39,26,59
191,Female,55,90,74
192,Female,45,66,47
193,Female,59,138,38
194,Male,22,63,36
195,Female,40,150,52
196,Male,47,85,56
197,Female,43,55,25
198,Female,25,109,52
199,Male,41,20,42
200,Female,28,16,13
201,Male,37,115,67
202,Male,47,183,80
203,Female,25,95,53
204,Female,43,174,44
205,Male,50,47,19
206,Male,41,134,67
207,Female,35,129,58
208,Male,39,24,59
209,Male,24,105,51
210,Male,25,130,56
211,Female,27,182,15
212,Male,23,121,75
213,Female,23,50,17
214,Male,46,93,24
215,Male,40,84,66
216,Male,60,32,73
217,Female,27,104,51
218,Male,22,55,18
219,Male,36,200,61
220,Male,41,26,68
221,Female,23,74,71
222,Male,57,159,61
223,Female,25,54,71
224,Female,21,40,53
225,Female,21,98,60
226,Female,48,57,16
227,Female,27,74,60
